ID,풍속 (m/s)
TEST_03547,0.41
TEST_03548,2.01
TEST_03549,1.66
TEST_03550,0.91
TEST_03551,1.3
TEST_03552,2.31
TEST_03553,2.24
TEST_03554,1.08
TEST_03555,1.4
TEST_03556,0.54
TEST_03557,1.11
TEST_03558,2.25
TEST_03559,3.54
TEST_03560,2.16
TEST_03561,0.55
TEST_03562,1.58
TEST_03563,0.14
TEST_03564,1.04
TEST_03565,0.82
TEST_03566,2.5
TEST_03567,3.21
TEST_03568,0.7
TEST_03569,2.38
TEST_03570,0.73
TEST_03571,2.18
TEST_03572,0.46
TEST_03573,3.79
TEST_03574,0.73
TEST_03575,2.11
TEST_03576,0.54
TEST_03577,4.5
TEST_03578,1.96
TEST_03579,7.66
TEST_03580,1.63
TEST_03581,1.34
TEST_03582,0.89
TEST_03583,1.21
TEST_03584,1.87
TEST_03585,1.08
TEST_03586,2.5
TEST_03587,1.68
TEST_03588,2.67
TEST_03589,1.33
TEST_03590,1.73
TEST_03591,1.55
TEST_03592,1.1
TEST_03593,0.39
TEST_03594,2.95
TEST_03595,0.84
TEST_03596,1.51
TEST_03597,3.02
TEST_03598,2.34
TEST_03599,3.92
TEST_03600,0.19
TEST_03601,1.47
TEST_03602,1.37
TEST_03603,0.51
TEST_03604,1.27
TEST_03605,0.54
TEST_03606,1.37
TEST_03607,2.84
TEST_03608,0.95
TEST_03609,4.76
TEST_03610,1.69
TEST_03611,0.78
TEST_03612,0.97
TEST_03613,4.25
TEST_03614,0.99
TEST_03615,1.48
TEST_03616,3.13
TEST_03617,2.21
TEST_03618,1.88
TEST_03619,1.28
TEST_03620,1.08
TEST_03621,3.6
TEST_03622,0.66
TEST_03623,1.26
TEST_03624,1.89
TEST_03625,1.71
TEST_03626,0.67
TEST_03627,1.38
TEST_03628,1.11
TEST_03629,1.28
TEST_03630,0.33
TEST_03631,1.02
TEST_03632,0.63
TEST_03633,2.95
TEST_03634,0.92
TEST_03635,0.99
TEST_03636,0.37
TEST_03637,2.98
TEST_03638,3.02
TEST_03639,1.25
TEST_03640,1.3
TEST_03641,0.14
TEST_03642,3.4
TEST_03643,3.55
TEST_03644,1.14
TEST_03645,3.63
TEST_03646,1.14
TEST_03647,1.72
TEST_03648,0.47
TEST_03649,1.65
TEST_03650,0.75
TEST_03651,5.16
TEST_03652,1.83
TEST_03653,4.17
TEST_03654,0.41
TEST_03655,3.29
TEST_03656,0.34
TEST_03657,2.34
TEST_03658,1.46
TEST_03659,0.56
TEST_03660,1.1
TEST_03661,0.59
TEST_03662,3.43
TEST_03663,1.01
TEST_03664,2.05
TEST_03665,0.2
TEST_03666,1.29
TEST_03667,1.25
TEST_03668,1.87
TEST_03669,1.56
TEST_03670,2.03
TEST_03671,2.43
TEST_03672,0.74
TEST_03673,1.42
TEST_03674,0.49
TEST_03675,4.1
TEST_03676,0.71
TEST_03677,2.41
TEST_03678,2.76
TEST_03679,4.34
TEST_03680,1.6
TEST_03681,0.8
TEST_03682,0.65
TEST_03683,1.24
TEST_03684,0.49
TEST_03685,0.6
TEST_03686,4.17
TEST_03687,7.39
TEST_03688,0.71
TEST_03689,1.33
TEST_03690,0.61
TEST_03691,0.57
TEST_03692,1.83
TEST_03693,3.51
TEST_03694,0.51
TEST_03695,0.5
TEST_03696,0.22
TEST_03697,1.53
TEST_03698,0.83
TEST_03699,3.13
TEST_03700,1.48
TEST_03701,1.01
TEST_03702,2.31
TEST_03703,0.97
TEST_03704,0.83
TEST_03705,2.76
TEST_03706,0.47
TEST_03707,1.35
TEST_03708,0.62
TEST_03709,2.14
TEST_03710,5.2
TEST_03711,1.76
TEST_03712,0.8
TEST_03713,2.35
TEST_03714,0.74
TEST_03715,1.46
TEST_03716,7.75
TEST_03717,0.86
TEST_03718,2.26
TEST_03719,2.85
TEST_03720,7.14
TEST_03721,0.64
TEST_03722,2.99
TEST_03723,0.62
TEST_03724,0.53
TEST_03725,3.68
TEST_03726,0.62
TEST_03727,2.76
TEST_03728,3.78
TEST_03729,0.4
TEST_03730,7.31
TEST_03731,2.54
TEST_03732,5.51
TEST_03733,2.93
TEST_03734,2.26
TEST_03735,2.46
TEST_03736,3.17
TEST_03737,0.79
TEST_03738,2.42
TEST_03739,0.45
TEST_03740,0.22
TEST_03741,0.55
TEST_03742,2.92
TEST_03743,0.55
TEST_03744,0.63
TEST_03745,2.89
TEST_03746,0.92
TEST_03747,2.86
TEST_03748,3.2
TEST_03749,1.69
TEST_03750,0.26
TEST_03751,2.79
TEST_03752,1.54
TEST_03753,2.87
TEST_03754,2.13
TEST_03755,1.04
TEST_03756,0.33
TEST_03757,0.81
TEST_03758,2.41
TEST_03759,3.45
TEST_03760,3.97
TEST_03761,0.59
TEST_03762,0.73
TEST_03763,1.12
TEST_03764,2.48
TEST_03765,1.35
TEST_03766,2.19
TEST_03767,3.22
TEST_03768,4.6
TEST_03769,2.5
TEST_03770,2.1
TEST_03771,1.56
TEST_03772,2.31
TEST_03773,2.03
TEST_03774,1.42
TEST_03775,1.5
TEST_03776,0.22
TEST_03777,1.26
TEST_03778,0.67
TEST_03779,0.84
TEST_03780,0.89
TEST_03781,2.1
TEST_03782,1.79
TEST_03783,3.29
TEST_03784,0.78
TEST_03785,2.3
TEST_03786,1.34
TEST_03787,1.45
TEST_03788,1.48
TEST_03789,0.72
TEST_03790,1.11
TEST_03791,0.38
TEST_03792,1.52
TEST_03793,1.3
TEST_03794,0.43
TEST_03795,6.48
TEST_03796,1.88
TEST_03797,1.84
TEST_03798,1.29
TEST_03799,1.39
TEST_03800,2.29
TEST_03801,0.74
TEST_03802,1.88
TEST_03803,3.45
TEST_03804,1.61
TEST_03805,1.0
TEST_03806,3.08
TEST_03807,0.63
TEST_03808,0.92
TEST_03809,0.75
TEST_03810,0.2
TEST_03811,0.73
TEST_03812,1.0
TEST_03813,4.69
TEST_03814,0.96
TEST_03815,1.92
TEST_03816,1.14
TEST_03817,0.56
TEST_03818,2.49
TEST_03819,0.82
TEST_03820,0.56
TEST_03821,3.92
TEST_03822,4.13
TEST_03823,1.04
TEST_03824,0.58
TEST_03825,2.1
TEST_03826,3.46
TEST_03827,0.7
TEST_03828,1.6
TEST_03829,2.36
TEST_03830,1.29
TEST_03831,2.14
TEST_03832,0.52
TEST_03833,0.81
TEST_03834,3.18
TEST_03835,1.6
TEST_03836,0.46
TEST_03837,2.29
TEST_03838,0.88
TEST_03839,2.41
TEST_03840,3.1
TEST_03841,0.99
TEST_03842,2.02
TEST_03843,0.89
TEST_03844,2.29
TEST_03845,2.74
TEST_03846,1.86
TEST_03847,2.75
TEST_03848,1.85
TEST_03849,1.59
TEST_03850,0.48
TEST_03851,2.27
TEST_03852,0.97
TEST_03853,0.83
TEST_03854,1.35
TEST_03855,1.5
TEST_03856,1.57
TEST_03857,3.52
TEST_03858,1.54
TEST_03859,1.02
TEST_03860,0.43
TEST_03861,2.64
TEST_03862,3.25
TEST_03863,0.52
TEST_03864,0.89
TEST_03865,5.73
TEST_03866,1.81
TEST_03867,0.42
TEST_03868,3.53
TEST_03869,0.64
TEST_03870,0.49
TEST_03871,1.21
TEST_03872,0.99
TEST_03873,2.67
TEST_03874,1.43
TEST_03875,0.17
TEST_03876,0.66
TEST_03877,4.01
TEST_03878,0.25
TEST_03879,2.29
TEST_03880,1.01
TEST_03881,3.04
TEST_03882,1.69
TEST_03883,2.23
TEST_03884,3.15
TEST_03885,3.55
TEST_03886,3.02
TEST_03887,3.36
TEST_03888,1.29
TEST_03889,0.45
TEST_03890,1.7
TEST_03891,1.44
TEST_03892,1.09
TEST_03893,0.68
TEST_03894,2.54
TEST_03895,0.82
TEST_03896,0.9
TEST_03897,2.13
TEST_03898,1.02
TEST_03899,0.49
TEST_03900,1.44
TEST_03901,2.48
TEST_03902,4.66
TEST_03903,0.23
TEST_03904,4.99
TEST_03905,0.42
TEST_03906,4.58
TEST_03907,3.63
TEST_03908,4.01
TEST_03909,1.59
TEST_03910,2.53
TEST_03911,0.61
TEST_03912,2.29
TEST_03913,4.16
TEST_03914,2.52
TEST_03915,1.14
TEST_03916,0.66
TEST_03917,0.98
TEST_03918,1.7
TEST_03919,0.53
TEST_03920,0.65
TEST_03921,1.7
TEST_03922,0.23
TEST_03923,1.42
TEST_03924,0.47
TEST_03925,1.13
TEST_03926,5.05
TEST_03927,0.24
TEST_03928,0.46
TEST_03929,0.92
TEST_03930,0.88
TEST_03931,1.08
TEST_03932,4.47
TEST_03933,0.65
TEST_03934,0.98
TEST_03935,3.16
TEST_03936,3.29
TEST_03937,1.48
TEST_03938,0.41
TEST_03939,3.06
TEST_03940,1.01
TEST_03941,4.4
TEST_03942,4.41
TEST_03943,2.46
TEST_03944,1.68
TEST_03945,2.58
TEST_03946,3.79
TEST_03947,1.1
TEST_03948,0.64
TEST_03949,4.33
TEST_03950,2.4
TEST_03951,2.84
TEST_03952,1.44
TEST_03953,1.02
TEST_03954,1.12
TEST_03955,2.58
TEST_03956,0.69
TEST_03957,0.55
TEST_03958,2.06
TEST_03959,1.11
TEST_03960,0.98
TEST_03961,2.2
TEST_03962,1.19
TEST_03963,1.57
TEST_03964,1.88
TEST_03965,2.79
TEST_03966,1.51
TEST_03967,1.81
TEST_03968,5.17
TEST_03969,1.57
TEST_03970,2.16
TEST_03971,1.65
TEST_03972,1.07
TEST_03973,0.45
TEST_03974,1.25
TEST_03975,4.95
TEST_03976,1.27
TEST_03977,1.59
TEST_03978,0.93
TEST_03979,0.44
TEST_03980,1.44
TEST_03981,1.11
TEST_03982,3.9
TEST_03983,0.46
TEST_03984,4.03
TEST_03985,0.43
TEST_03986,5.72
TEST_03987,1.25
TEST_03988,0.46
TEST_03989,1.1
TEST_03990,1.37
TEST_03991,2.87
TEST_03992,1.16
TEST_03993,1.57
TEST_03994,5.1
TEST_03995,0.5
TEST_03996,0.81
TEST_03997,1.44
TEST_03998,1.54
TEST_03999,0.72
TEST_04000,2.75
TEST_04001,0.79
TEST_04002,0.59
TEST_04003,3.52
TEST_04004,0.52
TEST_04005,1.28
TEST_04006,3.12
TEST_04007,5.73
TEST_04008,4.04
TEST_04009,3.92
TEST_04010,4.69
TEST_04011,1.35
TEST_04012,1.62
TEST_04013,0.68
TEST_04014,0.56
TEST_04015,0.75
TEST_04016,3.41
TEST_04017,3.39
TEST_04018,0.26
TEST_04019,1.73
TEST_04020,1.39
TEST_04021,0.66
TEST_04022,4.08
TEST_04023,2.22
TEST_04024,2.13
TEST_04025,1.5
TEST_04026,5.22
TEST_04027,2.44
TEST_04028,3.1
TEST_04029,0.33
TEST_04030,3.01
TEST_04031,0.89
TEST_04032,1.23
TEST_04033,2.06
TEST_04034,0.81
TEST_04035,1.5
TEST_04036,1.94
TEST_04037,1.17
TEST_04038,1.27
TEST_04039,2.21
TEST_04040,2.09
TEST_04041,5.89
TEST_04042,1.09
TEST_04043,0.52
TEST_04044,3.14
TEST_04045,2.28
TEST_04046,4.69
TEST_04047,0.67
TEST_04048,1.02
TEST_04049,3.6
TEST_04050,4.75
TEST_04051,6.95
TEST_04052,1.46
TEST_04053,1.18
TEST_04054,1.53
TEST_04055,1.37
TEST_04056,1.52
TEST_04057,9.29
TEST_04058,0.93
TEST_04059,2.99
TEST_04060,8.69
TEST_04061,1.23
TEST_04062,2.5
TEST_04063,1.91
TEST_04064,1.07
TEST_04065,0.86
TEST_04066,1.03
TEST_04067,3.0
TEST_04068,2.69
TEST_04069,3.24
TEST_04070,3.1
TEST_04071,3.52
TEST_04072,6.03
TEST_04073,0.5
TEST_04074,3.05
TEST_04075,1.84
TEST_04076,0.95
TEST_04077,2.55
TEST_04078,1.11
TEST_04079,1.94
TEST_04080,1.62
TEST_04081,3.67
TEST_04082,4.93
TEST_04083,0.59
TEST_04084,3.26
TEST_04085,2.24
TEST_04086,0.92
TEST_04087,2.9
TEST_04088,1.41
TEST_04089,1.5
TEST_04090,0.89
TEST_04091,1.01
TEST_04092,1.89
TEST_04093,3.67
TEST_04094,1.17
TEST_04095,0.26
TEST_04096,4.32
TEST_04097,4.67
TEST_04098,1.39
TEST_04099,1.83
TEST_04100,5.25
TEST_04101,2.29
TEST_04102,3.37
TEST_04103,2.48
TEST_04104,2.38
TEST_04105,2.05
TEST_04106,3.06
TEST_04107,0.82
TEST_04108,2.89
TEST_04109,3.02
TEST_04110,1.31
TEST_04111,1.81
TEST_04112,0.97
TEST_04113,7.48
TEST_04114,0.49
TEST_04115,2.4
TEST_04116,0.75
TEST_04117,1.0
TEST_04118,0.43
TEST_04119,1.64
TEST_04120,0.96
TEST_04121,0.78
TEST_04122,1.11
TEST_04123,4.69
TEST_04124,1.69
TEST_04125,1.79
TEST_04126,0.91
TEST_04127,1.83
TEST_04128,0.87
TEST_04129,1.08
TEST_04130,2.28
TEST_04131,3.41
TEST_04132,2.51
TEST_04133,1.03
TEST_04134,3.61
TEST_04135,0.57
TEST_04136,0.92
TEST_04137,1.82
TEST_04138,0.31
TEST_04139,4.55
TEST_04140,1.51
TEST_04141,0.79
TEST_04142,1.9
TEST_04143,0.38
TEST_04144,0.49
TEST_04145,2.71
TEST_04146,0.88
TEST_04147,1.44
TEST_04148,1.31
TEST_04149,0.24
TEST_04150,2.15
TEST_04151,0.84
TEST_04152,0.26
TEST_04153,0.54
TEST_04154,1.45
TEST_04155,1.72
TEST_04156,4.91
TEST_04157,2.36
TEST_04158,1.82
TEST_04159,7.06
TEST_04160,4.49
TEST_04161,5.37
TEST_04162,0.8
TEST_04163,0.42
TEST_04164,1.27
TEST_04165,0.36
TEST_04166,6.51
TEST_04167,4.27
TEST_04168,1.39
TEST_04169,1.73
TEST_04170,0.67
TEST_04171,0.37
TEST_04172,1.19
TEST_04173,3.25
TEST_04174,1.52
TEST_04175,8.01
TEST_04176,2.46
TEST_04177,1.76
TEST_04178,0.47
TEST_04179,0.82
TEST_04180,1.28
TEST_04181,0.58
TEST_04182,2.6
TEST_04183,2.96
TEST_04184,0.76
TEST_04185,0.55
TEST_04186,2.46
TEST_04187,2.73
TEST_04188,1.0
TEST_04189,1.03
TEST_04190,2.1
TEST_04191,2.15
TEST_04192,1.18
TEST_04193,1.53
TEST_04194,2.78
TEST_04195,0.88
TEST_04196,1.55
TEST_04197,0.83
TEST_04198,2.78
TEST_04199,2.2
TEST_04200,0.88
TEST_04201,1.55
TEST_04202,2.01
TEST_04203,1.53
TEST_04204,1.92
TEST_04205,0.74
TEST_04206,0.81
TEST_04207,1.65
TEST_04208,1.38
TEST_04209,1.63
TEST_04210,0.91
TEST_04211,3.63
TEST_04212,1.37
TEST_04213,8.0
TEST_04214,0.37
TEST_04215,0.94
TEST_04216,1.32
TEST_04217,1.06
TEST_04218,0.32
TEST_04219,2.34
TEST_04220,1.54
TEST_04221,1.22
TEST_04222,4.18
TEST_04223,0.57
TEST_04224,2.17
TEST_04225,1.15
TEST_04226,0.54
TEST_04227,1.26
TEST_04228,1.62
TEST_04229,1.44
TEST_04230,2.19
TEST_04231,2.75
TEST_04232,1.35
TEST_04233,0.32
TEST_04234,5.82
TEST_04235,1.65
TEST_04236,0.74
TEST_04237,1.5
TEST_04238,0.89
TEST_04239,4.55
TEST_04240,1.9
TEST_04241,2.74
TEST_04242,2.41
TEST_04243,3.01
TEST_04244,2.68
TEST_04245,3.72
TEST_04246,2.38
TEST_04247,0.13
TEST_04248,0.89
TEST_04249,1.81
TEST_04250,5.24
TEST_04251,4.57
TEST_04252,1.37
TEST_04253,2.95
TEST_04254,3.24
TEST_04255,1.82
TEST_04256,0.75
TEST_04257,0.52
TEST_04258,2.69
TEST_04259,1.78
TEST_04260,0.78
TEST_04261,3.28
TEST_04262,1.32
TEST_04263,1.25
TEST_04264,3.1
TEST_04265,1.55
TEST_04266,1.39
TEST_04267,1.64
TEST_04268,1.71
TEST_04269,3.35
TEST_04270,1.71
TEST_04271,0.27
TEST_04272,1.26
TEST_04273,1.35
TEST_04274,1.91
TEST_04275,2.68
TEST_04276,0.51
TEST_04277,4.01
TEST_04278,2.09
TEST_04279,0.5
TEST_04280,3.58
TEST_04281,1.05
TEST_04282,1.43
TEST_04283,0.64
TEST_04284,1.37
TEST_04285,0.39
TEST_04286,0.39
TEST_04287,1.19
TEST_04288,0.98
TEST_04289,0.56
TEST_04290,0.32
TEST_04291,0.76
TEST_04292,2.44
TEST_04293,2.17
TEST_04294,0.44
TEST_04295,0.57
TEST_04296,1.53
TEST_04297,3.05
TEST_04298,0.56
TEST_04299,6.68
TEST_04300,1.03
TEST_04301,2.26
TEST_04302,1.0
TEST_04303,2.27
TEST_04304,1.39
TEST_04305,0.53
TEST_04306,3.76
TEST_04307,3.51
TEST_04308,6.59
TEST_04309,1.78
TEST_04310,7.61
TEST_04311,3.82
TEST_04312,1.11
TEST_04313,1.9
TEST_04314,1.75
TEST_04315,1.76
TEST_04316,2.3
TEST_04317,2.2
TEST_04318,2.38
TEST_04319,0.7
TEST_04320,1.86
TEST_04321,0.72
TEST_04322,2.04
TEST_04323,0.96
TEST_04324,1.61
TEST_04325,1.98
TEST_04326,2.42
TEST_04327,0.83
TEST_04328,0.68
TEST_04329,1.12
TEST_04330,1.69
TEST_04331,6.19
TEST_04332,0.56
TEST_04333,0.27
TEST_04334,0.8
TEST_04335,4.18
TEST_04336,2.0
TEST_04337,2.26
TEST_04338,1.15
TEST_04339,0.31
TEST_04340,1.72
TEST_04341,2.46
TEST_04342,2.06
TEST_04343,0.82
TEST_04344,1.79
TEST_04345,1.19
TEST_04346,1.2
TEST_04347,0.64
TEST_04348,1.36
TEST_04349,2.2
TEST_04350,2.51
TEST_04351,1.13
TEST_04352,0.8
TEST_04353,2.03
TEST_04354,0.81
TEST_04355,1.2
TEST_04356,3.65
TEST_04357,3.38
TEST_04358,2.58
TEST_04359,0.57
TEST_04360,1.56
TEST_04361,0.77
TEST_04362,2.63
TEST_04363,1.26
TEST_04364,2.33
TEST_04365,0.42
TEST_04366,0.51
TEST_04367,0.42
TEST_04368,6.99
TEST_04369,1.33
TEST_04370,0.79
TEST_04371,4.32
TEST_04372,5.33
TEST_04373,0.48
TEST_04374,5.09
TEST_04375,0.41
TEST_04376,3.12
TEST_04377,2.83
TEST_04378,3.19
TEST_04379,4.5
TEST_04380,0.16
TEST_04381,3.18
TEST_04382,2.44
TEST_04383,0.62
TEST_04384,0.9
TEST_04385,1.94
TEST_04386,4.02
TEST_04387,0.96
TEST_04388,2.57
TEST_04389,1.47
TEST_04390,3.47
TEST_04391,1.05
TEST_04392,1.67
TEST_04393,0.59
TEST_04394,1.35
TEST_04395,1.49
TEST_04396,3.3
TEST_04397,0.13
TEST_04398,2.8
TEST_04399,1.82
TEST_04400,2.94
TEST_04401,1.83
TEST_04402,0.89
TEST_04403,0.4
TEST_04404,0.97
TEST_04405,2.26
TEST_04406,2.64
TEST_04407,0.98
TEST_04408,0.58
TEST_04409,1.27
TEST_04410,0.32
TEST_04411,2.59
TEST_04412,6.13
TEST_04413,0.28
TEST_04414,1.02
TEST_04415,0.75
TEST_04416,1.46
TEST_04417,3.09
TEST_04418,2.82
TEST_04419,2.44
TEST_04420,5.93
TEST_04421,2.04
TEST_04422,7.67
TEST_04423,0.47
TEST_04424,1.7
TEST_04425,1.39
TEST_04426,2.55
TEST_04427,4.02
TEST_04428,1.52
TEST_04429,1.44
TEST_04430,1.66
TEST_04431,0.77
TEST_04432,2.0
TEST_04433,2.25
TEST_04434,2.13
TEST_04435,4.04
TEST_04436,1.36
TEST_04437,0.4
TEST_04438,0.56
TEST_04439,3.26
TEST_04440,2.68
TEST_04441,2.65
TEST_04442,2.18
TEST_04443,0.42
TEST_04444,3.32
TEST_04445,2.26
TEST_04446,1.99
TEST_04447,0.98
TEST_04448,2.5
TEST_04449,0.99
TEST_04450,0.53
TEST_04451,2.6
TEST_04452,4.02
TEST_04453,3.88
TEST_04454,2.1
TEST_04455,1.42
TEST_04456,2.51
TEST_04457,1.09
TEST_04458,1.37
TEST_04459,3.82
TEST_04460,0.84
TEST_04461,3.2
TEST_04462,1.36
TEST_04463,4.08
TEST_04464,1.69
TEST_04465,0.79
TEST_04466,3.69
TEST_04467,1.38
TEST_04468,1.04
TEST_04469,2.14
TEST_04470,5.73
TEST_04471,1.82
TEST_04472,1.24
TEST_04473,4.84
TEST_04474,2.05
TEST_04475,1.34
TEST_04476,2.61
TEST_04477,3.64
TEST_04478,2.45
TEST_04479,1.23
TEST_04480,2.11
TEST_04481,0.92
TEST_04482,4.28
TEST_04483,1.77
TEST_04484,1.12
TEST_04485,1.93
TEST_04486,4.25
TEST_04487,10.71
TEST_04488,0.54
TEST_04489,2.63
TEST_04490,2.95
TEST_04491,2.41
TEST_04492,2.08
TEST_04493,1.46
TEST_04494,0.85
TEST_04495,0.72
TEST_04496,2.13
TEST_04497,1.88
TEST_04498,2.07
TEST_04499,5.14
TEST_04500,2.51
TEST_04501,1.88
TEST_04502,1.85
TEST_04503,1.06
TEST_04504,1.9
TEST_04505,0.37
TEST_04506,1.2
TEST_04507,1.13
TEST_04508,3.29
TEST_04509,1.68
TEST_04510,0.29
TEST_04511,1.29
TEST_04512,5.5
TEST_04513,4.51
TEST_04514,2.04
TEST_04515,2.52
TEST_04516,0.55
TEST_04517,4.97
TEST_04518,2.57
TEST_04519,0.81
TEST_04520,4.91
TEST_04521,1.65
TEST_04522,0.41
TEST_04523,1.57
TEST_04524,2.71
TEST_04525,3.36
TEST_04526,0.95
TEST_04527,0.96
TEST_04528,1.24
TEST_04529,2.17
TEST_04530,1.25
TEST_04531,3.27
TEST_04532,0.55
TEST_04533,3.06
TEST_04534,1.15
TEST_04535,3.43
TEST_04536,1.6
TEST_04537,2.46
TEST_04538,1.41
TEST_04539,1.47
TEST_04540,2.95
TEST_04541,0.63
TEST_04542,1.11
TEST_04543,6.18
TEST_04544,0.26
TEST_04545,1.84
TEST_04546,0.54
TEST_04547,5.73
TEST_04548,1.22
TEST_04549,1.63
TEST_04550,1.13
TEST_04551,1.33
TEST_04552,1.72
TEST_04553,0.78
TEST_04554,3.08
TEST_04555,3.44
TEST_04556,3.98
TEST_04557,2.94
TEST_04558,2.96
TEST_04559,1.88
TEST_04560,1.19
TEST_04561,1.39
TEST_04562,0.58
TEST_04563,2.87
TEST_04564,1.31
TEST_04565,0.73
TEST_04566,4.22
TEST_04567,4.33
TEST_04568,6.27
TEST_04569,0.87
TEST_04570,1.8
TEST_04571,0.52
TEST_04572,1.18
TEST_04573,0.56
TEST_04574,1.71
TEST_04575,1.06
TEST_04576,2.2
TEST_04577,2.54
TEST_04578,1.79
TEST_04579,0.58
TEST_04580,1.28
TEST_04581,1.72
TEST_04582,1.35
TEST_04583,2.42
TEST_04584,2.64
TEST_04585,0.93
TEST_04586,3.68
TEST_04587,3.79
TEST_04588,5.05
TEST_04589,0.75
TEST_04590,0.23
TEST_04591,0.52
TEST_04592,0.78
TEST_04593,0.27
TEST_04594,3.23
TEST_04595,1.25
TEST_04596,2.13
TEST_04597,3.82
TEST_04598,1.91
TEST_04599,0.36
TEST_04600,1.7
TEST_04601,2.71
TEST_04602,0.34
TEST_04603,0.38
TEST_04604,2.13
TEST_04605,0.88
TEST_04606,2.04
TEST_04607,1.32
TEST_04608,4.66
TEST_04609,1.11
TEST_04610,9.09
TEST_04611,0.77
TEST_04612,0.43
TEST_04613,2.57
TEST_04614,3.64
TEST_04615,0.95
TEST_04616,0.98
TEST_04617,1.11
TEST_04618,2.14
TEST_04619,0.51
TEST_04620,0.39
TEST_04621,0.56
TEST_04622,3.3
TEST_04623,1.92
TEST_04624,3.18
TEST_04625,2.51
TEST_04626,0.74
TEST_04627,1.32
TEST_04628,1.27
TEST_04629,3.83
TEST_04630,6.67
TEST_04631,2.27
TEST_04632,4.43
TEST_04633,1.8
TEST_04634,1.75
TEST_04635,1.49
TEST_04636,0.49
TEST_04637,2.5
TEST_04638,0.43
TEST_04639,0.67
TEST_04640,1.93
TEST_04641,0.63
TEST_04642,0.64
TEST_04643,4.17
TEST_04644,0.91
TEST_04645,0.58
TEST_04646,1.77
TEST_04647,1.79
TEST_04648,0.83
TEST_04649,3.02
TEST_04650,2.73
TEST_04651,3.41
TEST_04652,0.93
TEST_04653,9.14
TEST_04654,0.9
TEST_04655,1.47
TEST_04656,0.65
TEST_04657,2.74
TEST_04658,1.79
TEST_04659,4.07
TEST_04660,2.32
TEST_04661,0.34
TEST_04662,2.38
TEST_04663,4.05
TEST_04664,0.62
TEST_04665,1.33
TEST_04666,2.49
TEST_04667,0.27
TEST_04668,1.64
TEST_04669,1.79
TEST_04670,0.96
TEST_04671,2.12
TEST_04672,2.22
TEST_04673,2.34
TEST_04674,1.5
TEST_04675,0.93
TEST_04676,5.43
TEST_04677,2.29
TEST_04678,0.87
TEST_04679,1.81
TEST_04680,0.76
TEST_04681,0.46
TEST_04682,0.58
TEST_04683,3.8
TEST_04684,0.34
TEST_04685,1.14
TEST_04686,0.27
TEST_04687,2.59
TEST_04688,1.22
TEST_04689,0.53
TEST_04690,1.32
TEST_04691,2.0
TEST_04692,2.65
TEST_04693,4.96
TEST_04694,4.8
TEST_04695,3.55
TEST_04696,1.36
TEST_04697,1.27
TEST_04698,2.03
TEST_04699,4.01
TEST_04700,3.24
TEST_04701,1.28
TEST_04702,0.24
TEST_04703,1.07
TEST_04704,3.13
TEST_04705,1.75
TEST_04706,2.2
TEST_04707,2.43
TEST_04708,0.31
TEST_04709,2.13
TEST_04710,0.79
TEST_04711,0.91
TEST_04712,4.47
TEST_04713,1.7
TEST_04714,0.7
TEST_04715,2.78
TEST_04716,2.17
TEST_04717,2.55
TEST_04718,2.9
TEST_04719,1.06
TEST_04720,0.39
TEST_04721,2.17
TEST_04722,3.99
TEST_04723,1.58
TEST_04724,2.31
TEST_04725,0.97
TEST_04726,1.6
TEST_04727,2.93
TEST_04728,0.66
TEST_04729,1.81
TEST_04730,1.61
TEST_04731,6.08
TEST_04732,2.32
TEST_04733,4.09
TEST_04734,1.42
TEST_04735,0.46
TEST_04736,6.02
TEST_04737,9.49
TEST_04738,1.13
TEST_04739,0.95
TEST_04740,0.56
TEST_04741,3.01
TEST_04742,1.46
TEST_04743,2.11
TEST_04744,0.29
TEST_04745,3.88
TEST_04746,1.15
TEST_04747,4.24
TEST_04748,3.75
TEST_04749,2.89
TEST_04750,2.88
TEST_04751,0.72
TEST_04752,2.46
TEST_04753,1.68
TEST_04754,2.13
TEST_04755,0.1
TEST_04756,3.04
TEST_04757,3.08
TEST_04758,2.25
TEST_04759,0.53
TEST_04760,2.46
TEST_04761,4.09
TEST_04762,0.8
TEST_04763,2.03
TEST_04764,3.17
TEST_04765,1.85
TEST_04766,1.18
TEST_04767,2.38
TEST_04768,4.54
TEST_04769,2.51
TEST_04770,1.95
TEST_04771,3.11
TEST_04772,2.98
TEST_04773,1.28
TEST_04774,1.19
TEST_04775,2.31
TEST_04776,0.21
TEST_04777,2.88
TEST_04778,1.45
TEST_04779,1.85
TEST_04780,0.72
TEST_04781,3.4
TEST_04782,3.06
TEST_04783,3.01
TEST_04784,0.22
TEST_04785,0.84
TEST_04786,3.0
TEST_04787,8.44
TEST_04788,2.96
TEST_04789,2.13
TEST_04790,0.55
TEST_04791,3.64
TEST_04792,2.19
TEST_04793,0.89
TEST_04794,7.66
TEST_04795,0.71
TEST_04796,0.63
TEST_04797,0.6
TEST_04798,0.99
TEST_04799,2.17
TEST_04800,0.49
TEST_04801,0.26
TEST_04802,3.38
TEST_04803,5.35
TEST_04804,0.41
TEST_04805,0.85
TEST_04806,0.73
TEST_04807,5.73
TEST_04808,2.22
TEST_04809,1.41
TEST_04810,4.86
TEST_04811,4.58
TEST_04812,0.41
TEST_04813,2.59
TEST_04814,0.74
TEST_04815,0.79
TEST_04816,0.75
TEST_04817,1.47
